Date,2:00,23:00,1:00,7:00,19:00,4:00,22:00,20:00,6:00,18:00,21:00,3:00,0:00,5:00
10/01/23,8,0,8,0,0,2,0,0,4,0,0,4,5,14
10/02/23,0,8,0,0,7,0,6,7,0,2,3,0,0,0
10/03/23,6,0,1,0,0,5,0,0,12,0,0,6,8,6
10/04/23,3,23,0,0,32,6,11,16,3,0,12,1,4,1
10/05/23,0,3,0,0,13,0,11,24,0,0,37,0,0,0
10/06/23,16,34,18,0,4,5,34,30,12,0,52,17,30,9
10/07/23,2,6,3,0,6,5,6,19,2,0,9,2,2,2
10/08/23,0,3,0,0,1,0,1,1,0,0,1,0,0,0
10/09/23,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10/10/23,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10/12/23,0,4,0,0,6,0,2,9,0,0,2,0,0,0
10/13/23,8,3,9,0,5,7,2,8,6,0,6,4,18,8
10/14/23,4,7,4,0,7,4,4,3,2,2,2,5,5,5
10/15/23,13,8,18,0,4,7,2,5,7,0,5,7,10,2
10/16/23,5,7,9,0,13,6,3,4,2,0,3,7,8,7
10/17/23,5,3,10,0,6,2,2,8,11,0,2,7,8,4
10/18/23,7,4,2,0,7,1,4,5,2,2,0,2,1,1
10/19/23,1,2,0,0,4,4,3,4,4,1,7,4,1,4
10/20/23,10,22,12,0,3,8,31,19,1,0,15,4,10,5
10/21/23,3,5,8,0,5,2,5,4,0,10,2,9,1,4
10/22/23,5,13,4,0,5,10,4,1,3,0,1,6,9,7
10/23/23,20,7,12,0,4,71,3,3,206,0,6,31,7,116
10/24/23,4,0,8,0,2,7,13,13,2,2,11,3,3,1
10/25/23,5,0,6,0,9,4,1,6,1,1,1,7,6,0
10/26/23,0,8,0,0,5,0,3,6,0,3,5,0,0,0
10/29/23,0,10,0,0,2,0,6,9,0,2,3,0,0,0
10/30/23,3,4,13,80,5,1,7,10,13,5,4,3,8,2
10/31/23,4,0,7,14,0,10,0,0,4,0,0,10,15,4
11/01/23,6,3,6,55,9,0,8,1,77,20,8,1,6,1
11/02/23,1,0,4,56,6,2,5,1,43,2,3,1,3,3
11/03/23,1,1,3,34,6,3,1,4,23,4,11,0,1,0
11/04/23,0,0,0,0,7,9,2,1,5,1,3,1,1,9
11/05/23,0,4,0,0,13,0,12,3,0,8,9,0,0,0
